ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,100,7,0.08,50,0.26950543704138036,0.01641179213182044,0.07889649309171269,0.01572171459219665,0.08185710119425801,0.016067677412887935
1772996441.151306,uniform,0.1,100,7,0.1,50,0.24954914199911588,0.012931722462647392,0.05810707325896775,0.011667555618697758,0.06190080615199353,0.012226480501950233
1772996441.151306,uniform,0.1,100,8,0.002,50,0.9895211966891138,0.12793970864659385,0.8674666012815198,0.14200573534628666,0.8018728608419917,0.12888169539910335
1772996441.151306,uniform,0.1,100,8,0.004,50,1.0088454698363034,0.12381904233561383,0.8870809177567126,0.13581849594199732,0.8211971339891809,0.12509614010493325
1772996441.151306,uniform,0.1,100,8,0.006,50,1.0413756609533313,0.13538850875471847,0.9237977770589354,0.15096475130730125,0.853727325106209,0.13721434351668202
1772996441.151306,uniform,0.1,100,8,0.008,50,1.0740732996651077,0.1403192867499146,0.964619134723529,0.15696734782564734,0.8864249638179854,0.1417063058780554
1772996441.151306,uniform,0.1,100,8,0.01,50,1.0762235619537799,0.1542641956797298,0.9680038453555777,0.17349145928549564,0.8885752261066574,0.15518236560683163
1772996441.151306,uniform,0.1,100,8,0.02,50,0.7947026194682344,0.14072319518639906,0.6373882181833184,0.15140512483345178,0.607054283621112,0.14038039288598148
1772996441.151306,uniform,0.1,100,8,0.04,50,0.48513622381238447,0.058523908661226406,0.30275412029609755,0.058168391136304134,0.2974878879652621,0.05795166309622943
1772996441.151306,uniform,0.1,100,8,0.06,50,0.3792382055136755,0.03448555784147049,0.19262751798888705,0.033196737800473004,0.19158986966655311,0.03390707744982643
1772996441.151306,uniform,0.1,100,8,0.08,50,0.3240936085518266,0.024175219481458794,0.13549235274353844,0.02247750265191285,0.13644527270470422,0.023561463449384083
1772996441.151306,uniform,0.1,100,8,0.1,50,0.28980807318947815,0.018370758560545684,0.09995897328528267,0.016530844227501208,0.10215973734235576,0.017713345606281176
1772996441.151306,uniform,0.1,500,1,0.002,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.004,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.006,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.008,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.01,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.02,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.04,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.06,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.08,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,1,0.1,50,0.19344546838024246,0.005884164191186823,0.00010195542058202215,3.142765813801429e-06,0.005797132533120124,0.00017827255693543388
1772996441.151306,uniform,0.1,500,2,0.002,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.004,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.006,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.008,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.01,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.02,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
1772996441.151306,uniform,0.1,500,2,0.04,50,0.19357426518462245,0.005841217475558269,0.0002338061218858902,8.940943952436535e-05,0.005925929337500067,0.00028959000572043606
