G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,8,0.0001,0.0797313432126757,0.0351950321998778,0.0494868649062935,0.0366572518909413,0.0447530246687371,0.0356131370377073,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,1e-05,0.0788160058207033,0.0334507355140992,0.0495643014301665,0.0358322435646487,0.0438376872767647,0.0339627408583376,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,1e-06,0.0788703966006913,0.0417960789053826,0.0464957139394486,0.0422482464662832,0.0438920780567527,0.0421480774755817,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,1e-07,0.0768689702421906,0.0319167006673373,0.0465485160964942,0.0317941335550794,0.041890651698252,0.0323192792389901,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,8,1e-08,0.083575131897989,0.0402224030279714,0.0539460511379411,0.0427331210790303,0.0485968133540503,0.0405679100359858,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.5,0.0526503699516183,0.0051620758496416,0.0145334090637487,0.004695579401957,0.0176720514076796,0.0053438552014146,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.25,0.0532199178485138,0.0062501599080193,0.0174689475308012,0.0062351376322807,0.0182415993045751,0.0065006442821649,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.1,0.0644376044740155,0.0143869500673884,0.0315698781767895,0.0150645243532853,0.0294592859300769,0.0146876129804356,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.05,0.0845850332046247,0.0310066305515553,0.0540470272486352,0.0329468483610333,0.049606714660686,0.031262594563436,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.025,0.0963287973207851,0.0421338826006802,0.064867523444018,0.0415857288913526,0.0613504787768464,0.0425246828812704,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.01,0.0991198362912256,0.0384582091309234,0.0702786448737279,0.0419018850954146,0.0641415177472869,0.0389456500641099,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.001,0.0996086662932837,0.0385857149398135,0.071008321850418,0.0421857041118152,0.0646303477493451,0.0389084927428828,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,0.0001,0.1050042158656381,0.044791335944778,0.0759501386279188,0.0468596489723664,0.0700258973216994,0.0451627205843699,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,1e-05,0.1033185969233371,0.0435257998747156,0.0754924106913647,0.0482700577209029,0.0683402783793985,0.0439042301589968,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,1e-06,0.1035219051469478,0.0439648694000126,0.0747693665757285,0.0474965342433731,0.0685435866030091,0.0443372667783295,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,1e-07,0.1010778484141098,0.0402754716316087,0.0728238700647552,0.0437971519637585,0.0660995298701711,0.0407366990974734,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,9,1e-08,0.1012665084608536,0.0433915313783425,0.0712164543101353,0.0463106158065111,0.0662881899169149,0.0437733408336944,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.5,0.0581011355654037,0.0060028052899805,0.0199125266218558,0.0062634589198097,0.023122817021465,0.0057660749995459,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.25,0.0625228680605505,0.0110534792741322,0.0268991877652039,0.0117549527665108,0.0275445495166119,0.0107736347213421,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.1,0.0867128087038258,0.0341121174094479,0.0545736395208299,0.0363558201790648,0.0517344901598871,0.034032179263434,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.05,0.1116087610755421,0.0502211426209698,0.0798600689159033,0.0511083513397502,0.0766304425316034,0.0504085035708581,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.025,0.1213003649470925,0.0536374119735803,0.0901342397285963,0.0560455550758585,0.0863220464031538,0.0540526980300072,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.01,0.1224257405231721,0.0567489573982352,0.0916995250400076,0.0576417180101673,0.0874474219792335,0.0570368813402443,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,10,0.001,0.1241906299630829,0.0579636419151375,0.0945139369115835,0.0606815052453645,0.0892123114191442,0.0582909030962015,0.0349783185439386,0.0013724219691681,10.0
