G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1-modal,0.1,100,7,0.1,25,0.06880934729881322,0.02191440832911833,0.017431419761811593,0.02133619620150528,0.019715765172911313,0.021818091392213395
1-modal,0.1,100,7,0.125,25,0.06746983124126435,0.017438122752025522,0.01554281040046382,0.016761321183451496,0.01837624911536244,0.01732048897506385
1-modal,0.1,100,7,0.15,25,0.0668515133590981,0.014893688927234805,0.014454792641182941,0.014188692242991515,0.017757931233196196,0.014768378979584152
1-modal,0.1,100,7,0.175,25,0.06668758916202173,0.013345658625272091,0.013868255384684695,0.012640564191236664,0.017594007036119817,0.013214962738374763
1-modal,0.1,100,7,0.2,25,0.06672817622700651,0.012203688657140754,0.01350448358844928,0.01145577747321831,0.017634594101104604,0.01207063223784097
1-modal,0.1,100,8,0.015,25,0.1322730361960968,0.10098685492439338,0.08546269237311367,0.10323268648406687,0.08317945407019485,0.10108488178550096
1-modal,0.1,100,8,0.025,25,0.1176933686197251,0.10397537344549294,0.06933350380638524,0.10164495039160706,0.06859978649382319,0.10405534916303796
1-modal,0.1,100,8,0.045,25,0.09463757544264205,0.06540377811019593,0.045046539472208755,0.06399564582664345,0.045543993316740125,0.06542078499064682
1-modal,0.1,100,8,0.065,25,0.08421006361995338,0.04576248767272636,0.03375797670558805,0.0443581682282931,0.03511648149405147,0.04574495569598322
1-modal,0.1,100,8,0.085,25,0.07960687260446389,0.03704879530363738,0.028525995172619924,0.0357221781868587,0.030513290478561966,0.03701225584232933
1-modal,0.1,100,8,0.1,25,0.07756258928233532,0.0331532003739869,0.026140128787229447,0.03190076611737108,0.0284690071564334,0.03310891116431251
1-modal,0.1,100,8,0.125,25,0.07530579676071682,0.02834950609235317,0.02334494065960166,0.027154253992807013,0.026212214634814907,0.028296158869643023
1-modal,0.1,100,8,0.15,25,0.07396078404471879,0.025023701945361194,0.02149751973972779,0.02382148022830078,0.02486720191881688,0.024959035320340873
1-modal,0.1,100,8,0.175,25,0.07317534280052594,0.02259329557234694,0.020245895594944892,0.021370113086447026,0.024081760674624027,0.022521572478047786
1-modal,0.1,100,8,0.2,25,0.07277984096963411,0.020781438080379036,0.01942809681935936,0.019566835843500562,0.023686258843732197,0.020705316739089596
1-modal,0.1,500,1,0.015,25,0.086683297658186,0.003208488408498736,0.025909442210340555,0.0008789645310668526,0.03758971553228409,0.002341368943220129
1-modal,0.1,500,1,0.025,25,0.086683297658186,0.003208488408498736,0.025909442210340555,0.0008789645310668526,0.03758971553228409,0.002341368943220129
1-modal,0.1,500,1,0.045,25,0.086683297658186,0.003208488408498736,0.025909442210340555,0.0008789645310668526,0.03758971553228409,0.002341368943220129
1-modal,0.1,500,1,0.065,25,0.086683297658186,0.003208488408498736,0.025909442210340555,0.0008789645310668526,0.03758971553228409,0.002341368943220129
1-modal,0.1,500,1,0.085,25,0.08668543395828344,0.0032049136368062963,0.025909902880000488,0.0008781181390338057,0.03759185183238152,0.0023379873688274973
1-modal,0.1,500,1,0.1,25,0.08668855347249775,0.0031997479214582814,0.025910702926751267,0.0008766600713865868,0.03759497134659584,0.002333124978389922
1-modal,0.1,500,1,0.125,25,0.08669423400534783,0.0031929550250180327,0.025913230118610513,0.0008727406473874583,0.037600651879445904,0.0023264660815144654
1-modal,0.1,500,1,0.15,25,0.08670155196253683,0.0031895478764649705,0.0259171643488291,0.0008701770509112984,0.03760796983663491,0.0023223108959995005
1-modal,0.1,500,1,0.175,25,0.08671519160150298,0.003187090602251103,0.02592503135313414,0.0008697408593150509,0.03762160947560107,0.0023194865266248973
